epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,2588.95,0.619,0.41413,0.99159,0.96933,0.88946,0.93628,0.80334,0.70077,0.47,1.05357,0.0004259,0.0004259,0.0004259
161,2610.03,0.6178,0.41698,0.9957,0.98545,0.87075,0.93875,0.80662,0.69975,0.46529,1.04231,0.000416,0.000416,0.000416
162,2630.07,0.62003,0.40881,0.99433,0.98275,0.87206,0.93449,0.80437,0.69404,0.48152,1.04983,0.0004061,0.0004061,0.0004061
163,2651.59,0.60267,0.4087,0.98418,0.97684,0.87585,0.93762,0.80079,0.70619,0.47618,1.05664,0.0003962,0.0003962,0.0003962
164,2673.83,0.60203,0.40884,0.99131,0.98845,0.86224,0.9348,0.8027,0.69246,0.47066,1.04566,0.0003863,0.0003863,0.0003863
165,2695.82,0.61563,0.41136,0.99112,0.98676,0.86735,0.93475,0.80503,0.69155,0.47339,1.03681,0.0003764,0.0003764,0.0003764
166,2716.73,0.60604,0.41195,0.99051,0.98552,0.87075,0.93427,0.80494,0.68763,0.4817,1.03807,0.0003665,0.0003665,0.0003665
167,2736.13,0.59308,0.39173,0.98042,0.96272,0.87829,0.93415,0.80336,0.68595,0.48453,1.04089,0.0003566,0.0003566,0.0003566
168,2755.11,0.60811,0.41632,0.98771,0.98905,0.86565,0.93473,0.80545,0.68018,0.47144,1.03532,0.0003467,0.0003467,0.0003467
169,2776.97,0.60282,0.39707,0.98177,0.9773,0.87872,0.93169,0.80558,0.68324,0.47461,1.03924,0.0003368,0.0003368,0.0003368
170,2796.11,0.61847,0.40515,0.98784,0.96838,0.88095,0.93105,0.80252,0.68777,0.49598,1.03614,0.0003269,0.0003269,0.0003269
171,2812.64,0.59428,0.39955,0.98157,0.9844,0.86735,0.93186,0.80725,0.68425,0.48469,1.0374,0.000317,0.000317,0.000317
172,2831.19,0.59664,0.40199,0.98356,0.98691,0.86565,0.93406,0.80693,0.67673,0.4718,1.03834,0.0003071,0.0003071,0.0003071
173,2849.11,0.59968,0.40262,0.98663,0.97915,0.88435,0.93312,0.80735,0.68054,0.4777,1.03512,0.0002972,0.0002972,0.0002972
174,2866.1,0.60841,0.40381,0.99164,0.9733,0.88776,0.93334,0.80628,0.68451,0.47689,1.04006,0.0002873,0.0002873,0.0002873
175,2885.17,0.60906,0.40522,0.98738,0.98648,0.86831,0.93595,0.80522,0.68027,0.4716,1.03549,0.0002774,0.0002774,0.0002774
176,2907.01,0.58705,0.38306,0.97513,0.98086,0.87164,0.93304,0.80478,0.67991,0.46107,1.04092,0.0002675,0.0002675,0.0002675
177,2929.27,0.59035,0.3923,0.97879,0.9736,0.87822,0.92934,0.80411,0.67497,0.46147,1.04042,0.0002576,0.0002576,0.0002576
178,2949.79,0.58561,0.38767,0.97638,0.97909,0.87588,0.92978,0.80605,0.68758,0.45908,1.04056,0.0002477,0.0002477,0.0002477
179,2971.34,0.60517,0.40683,0.99351,0.97727,0.87729,0.93382,0.80738,0.68221,0.45672,1.04103,0.0002378,0.0002378,0.0002378
